epoch,train_loss,train_acc
1,4.156610486452537,0.07745364451271189
2,3.6121227527823287,0.1608096227773925
3,3.30546616166449,0.22500799234260987
4,3.027466420322428,0.2874440537084399
5,2.801938047799308,0.34112452050609054
6,2.586849351063409,0.39124840154977103
7,2.367486769585963,0.44537643871039073
8,2.154492973366662,0.5003196930946292
9,1.9343784983505679,0.5598185742297745
10,1.734830434669924,0.6189418158415333
11,1.5607265389483909,0.6692335358666032
12,1.4248595222487779,0.7141064577700232
13,1.319535424947129,0.7442854859335039
14,1.2398964707808726,0.7709798593350383
15,1.1839915135937273,0.7874960038058288
16,1.1349909526612751,0.8034806585372867
17,1.0822586086400026,0.8200407609000535
18,1.0400234532478216,0.8350183823529411
19,0.9941143677057818,0.8511948529106882
20,0.95701389910315,0.8628516624040921
21,0.9277112316292571,0.873201726342711
22,0.8939372055670795,0.8858895460358056
23,0.8659289909140838,0.8939178389356569
24,0.837766849171475,0.9065417199183607
25,0.8103882371617095,0.9152813299232737
